id,title,category,score,num_comments,author,time,engagement,is_popular
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,20,3,zaikunzhang,2026-04-05 17:10,0.14285714285714285,False
47640728,Show HN: A game where you build a GPU,sports,786,161,Jaso1024,2026-04-05 17:10,0.204574332909784,True
47645432,Introduction to Computer Music (2009) [pdf],entertainment,169,53,luu,2026-04-05 17:10,0.31176470588235294,True
47590230,Costco sued for seeking refunds on tariffs customers paid,technology,11,1,AdmiralAsshat,2026-04-05 17:10,0.08333333333333333,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,16,1,lexalizer,2026-04-05 17:11,0.058823529411764705,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,39,13,syedmsawaid,2026-04-05 17:11,0.325,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,115,11,kaipereira,2026-04-05 17:11,0.09482758620689655,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,164,79,jrandolf,2026-04-05 17:11,0.47878787878787876,True
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,77,33,waveywaves,2026-04-05 17:11,0.4230769230769231,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,95,15,laszlokorte,2026-04-05 17:11,0.15625,False
47637757,Embarrassingly simple self-distillation improves code generation,technology,607,182,Anon84,2026-04-05 17:11,0.2993421052631579,True
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 17:11,0.03870967741935484,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,798,firloop,2026-04-05 17:11,0.7592768791627021,True
47606244,Training mRNA Language Models Across 25 Species for $165,technology,138,32,maziyar,2026-04-05 17:11,0.2302158273381295,False
47611993,VR Realizes the Cyberspace Metaphor,science,14,11,dryadin,2026-04-05 17:12,0.7333333333333333,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,13,1,andsoitis,2026-04-05 17:12,0.07142857142857142,False
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,396,249,eichin,2026-04-05 17:12,0.6272040302267002,True
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,55,15,ingenika,2026-04-05 17:12,0.26785714285714285,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,36,22,1659447091,2026-04-05 17:12,0.5945945945945946,False
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 17:12,0.43617021276595747,False
47645468,Writing Lisp is AI resistant and I'm sad,technology,69,71,djha-skin,2026-04-05 17:12,1.0142857142857142,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 17:12,0.25065963060686014,True
47621792,Post Mortem: axios NPM supply chain compromise,technology,281,131,JeanMeche,2026-04-05 17:13,0.4645390070921986,True
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,2,rrvsh,2026-04-05 17:13,0.3333333333333333,False
47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 17:13,0.20305980528511822,True
47616157,Software never had a soul,technology,18,16,firloop,2026-04-05 17:13,0.8421052631578947,False
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 17:13,0.38497652582159625,True
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,169,148,lschueller,2026-04-05 17:13,0.8705882352941177,True
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,148,denssumesh,2026-04-05 17:13,0.37468354430379747,True
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 17:14,0.8083832335329342,True
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,16,13,bring-shrubbery,2026-04-05 17:14,0.7647058823529411,False
47647038,An AI bot invited me to its party in Manchester. It was a pretty good night,technology,7,1,mellosouls,2026-04-05 17:14,0.125,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 17:14,0.9230769230769231,False
47645976,AI that copied musical artist files copyright claim against artist [updated],technology,60,14,josephcsible,2026-04-05 17:14,0.22950819672131148,False
47617376,OpenAI Acquires TBPN,technology,238,190,surprisetalk,2026-04-05 17:15,0.7949790794979079,True
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,239,119,upofadown,2026-04-05 17:15,0.49583333333333335,True
47633640,How to Write Unmaintainable Code (1999),technology,51,17,downbad_,2026-04-05 17:15,0.3269230769230769,False
47645926,The Spaceballs sequel will be released in April next year,science,5,0,WaitWaitWha,2026-04-05 17:15,0.0,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,208,pretext,2026-04-05 17:15,0.3543441226575809,True
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,49,52,luca-ctx,2026-04-05 17:15,1.04,False
47618189,Tailscale's new macOS home,technology,561,306,tosh,2026-04-05 17:15,0.5444839857651246,True
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,technology,92,37,borski,2026-04-05 17:15,0.3978494623655914,False
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,363,199,sedev,2026-04-05 17:15,0.5467032967032966,True
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 17:15,0.0,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 17:16,0.4673495518565941,True
47627419,The Axios supply chain attack used individually targeted social engineering,technology,46,11,cmitsakis,2026-04-05 17:16,0.23404255319148937,False
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 17:16,0.0,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 17:16,0.4166666666666667,False
47642552,Nandgame – Build a Computer from Scratch,sports,5,0,Vortigaunt,2026-04-05 17:16,0.0,False
47609492,50 years measuring the cleanest air,technology,23,5,defrost,2026-04-05 17:16,0.20833333333333334,False
47644529,Why samurai are cooler than klingons,technology,9,0,mooreds,2026-04-05 17:16,0.0,False
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,239,138,nickslaughter02,2026-04-05 17:16,0.575,True
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,44,24,tosh,2026-04-05 17:17,0.5333333333333333,False
47645696,Towards end-to-end automation of AI research,technology,6,0,hardmaru,2026-04-05 17:17,0.0,False
47611921,Significant raise of reports,technology,313,155,stratos123,2026-04-05 17:17,0.49363057324840764,True
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 17:17,0.6363636363636364,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 17:17,0.7647058823529411,False
47620933,Memo: A language that remembers only the last 12 lines of code,technology,57,36,notem,2026-04-05 17:17,0.6206896551724138,False
47640722,12k AI-generated blog posts added in a single commit,technology,146,145,noslop,2026-04-05 17:17,0.9863945578231292,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 17:17,0.6388888888888888,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 17:17,0.37333333333333335,False
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 17:17,1.4371859296482412,True
47609694,Email obfuscation: What works in 2026?,technology,369,103,jaden,2026-04-05 17:18,0.27837837837837837,True
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,96,39,Bender,2026-04-05 17:18,0.4020618556701031,False
47640984,"Iran's Network of Cameras Bolsters Air Defenses, Expert Says",technology,46,17,uxhacker,2026-04-05 17:18,0.3617021276595745,False
47635340,Let's be Honest about AI Coding,technology,23,3,lordofmoria,2026-04-05 17:18,0.125,False
47645100,Mission to Recover Downed F-15E Aircrew,technology,7,0,everybodyknows,2026-04-05 17:18,0.0,False
47592755,OpenAI closes funding round at an $852B valuation,technology,527,493,surprisetalk,2026-04-05 17:18,0.9337121212121212,True
47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,technology,7,0,pykul,2026-04-05 17:18,0.0,False
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,87,30,ronfriedhaber,2026-04-05 17:18,0.3409090909090909,False
47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,128,121,thinkingemote,2026-04-05 17:18,0.937984496124031,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 17:19,0.27586206896551724,True
47643347,OpenRouter Raises $120M at a $1.3B Valuation,technology,9,7,ryanatallah,2026-04-05 17:19,0.7,False
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 17:19,0.5701754385964912,False
47623101,A Rave Review of Superpowers (For Claude Code),technology,47,25,emschwartz,2026-04-05 17:19,0.5208333333333334,False
47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-05 17:19,0.5223214285714286,True
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,33,0,flakespancakes,2026-04-05 17:19,0.0,False
47592462,I traced my traffic through a home Tailscale exit node,technology,155,72,stonecharioteer,2026-04-05 17:19,0.46153846153846156,False
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 17:19,0.55,False
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",technology,425,151,PrismML,2026-04-05 17:20,0.3544600938967136,True
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,36,6,j0rg3,2026-04-05 17:20,0.16216216216216217,False
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 17:20,0.42574257425742573,False
47636820,Show HN: Web Push Notifications for Hacker News,entertainment,5,1,kinlan,2026-04-05 17:20,0.16666666666666666,False
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,50,10,liz_ifixit,2026-04-05 17:20,0.19607843137254902,False
47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 17:20,0.3333333333333333,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 17:20,0.753731343283582,False
47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,technology,15,5,mettamage,2026-04-05 17:20,0.3125,False
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 17:20,0.3401360544217687,False
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,21,4,symisc_devel,2026-04-05 17:20,0.18181818181818182,False
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,technology,30,4,diehunde,2026-04-05 17:21,0.12903225806451613,False
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,technology,35,8,heavyset_go,2026-04-05 17:21,0.2222222222222222,False
47633734,ENiGMA½ BBS Software,technology,10,1,NuSkooler,2026-04-05 17:21,0.09090909090909091,False
47639224,Intelligence Cannot Be Trained?,technology,7,7,hyperzzw,2026-04-05 17:21,0.875,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 17:21,0.14634146341463414,False
47587866,Microsoft: Copilot is for entertainment purposes only,technology,579,200,lpcvoid,2026-04-05 17:21,0.3448275862068966,True
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,25,14,arttaboi,2026-04-05 17:21,0.5384615384615384,False
